User,Text,Followers,Retweets,Favorites,
dana916,"And here is the customer of the conflict in Serbia and Kosovo.

 U.S. Secretary of State Anthony Blinken met with Prime Minister of Kosovo Albin Kurti and President of Kosovo Vyosa Osmani on July 26 https://t.co/uW24nOs79k https://t.co/M0YXqtE79Y",920,0,0,2022-08-02 16:56:35+00:00
dvoglavakita,@Winston72727096 @USAmbKosovo Albin Kurti don`t want dialog. He said he will talk only if Serbia wants to recognize Kosovo.,10,0,0,2022-08-02 11:59:34+00:00
tagabhishek,"🇷🇸 The self-proclaimed Republic of Kosovo will start implementing new law on re-registration of vehicles and identity cards tomorrow, said PM Albin Kurti.",2527,0,1,2022-08-02 10:58:08+00:00
ROJNAME_kurdi,"Faton Klinaku publishes the letters he exchanged with Albin Kurti, these are the demands of the two parties – Rhewal
https://t.co/d6L6jLyPZ7",10487,0,0,2022-08-02 10:27:10+00:00
Rojname_com,"Faton Klinaku publishes the letters he exchanged with Albin Kurti, these are the demands of the two parties – Rhewal
https://t.co/zR1mRxrhkv",27393,0,0,2022-08-02 10:27:08+00:00
ejupbiqkaj,"@RichardGrenell Albin Kurti has became your and your bosses nightmare.
Have you not seen the tweet of US Embassy in Kosovo?
https://t.co/5pMjvcSAfp

World will be a lot safer place when the Jan 6 mob and organizers including you will get behind the bars!",41,0,0,2022-08-02 10:25:37+00:00
Albatrosi43,@RichardGrenell How desperate must it be to hate someone as much as you Albin Kurti.,13,0,1,2022-08-02 10:07:41+00:00
MarkoLilja,@RichardGrenell @despot_____ @JakeSullivan46 @ABlinken Albin Kurti is the HERO. We stand with NATO and KFOR,23,0,0,2022-08-02 09:56:44+00:00
FazlijaMeti,"@RichardGrenell @JakeSullivan46 @ABlinken It seems that you are incarnated with Serbian fascist politics, It seems that you are incarnated with Serbian fascist politics.
Albin Kurti is the best and the most democratic politician in the Balkans and maybe the EU, shame of you.",1,0,0,2022-08-02 08:07:01+00:00
sparta490,"The current crisis was triggered by Kosovo’s ethnic Albanian Prime Minister, Albin Kurti, who initially wanted to force the majority Serb population in the north of the region to accept Kosovan license plates and ID papers starting from August 1",71,0,0,2022-08-02 03:11:17+00:00
segoff10,"And here is the customer of the conflict in Serbia and Kosovo:
 On July 26, US Secretary of State Anthony Blinken met with Kosovo Prime Minister Albin Kurti and Kosovo President Vyosa Osmani. https://t.co/GP0YuHDJDu",30,0,0,2022-08-02 02:32:23+00:00
Mousacisse1,"“What’s happening in the Balkans isn’t Russia. Whoever says this to you is trying to manipulate you,” Grenell tweeted. “This is about Albin Kurti trying once again to give it [to] Serbia. He is living in the past.”",289,0,0,2022-08-02 01:09:27+00:00
EnverShabani,@RichardGrenell Albin kurti is the leader of Kosovo I don’t know why you have to tell as how we want are leader,4,0,0,2022-08-01 22:38:16+00:00
Fit_Osm,@RichardGrenell That’s obviously we know Serbia doesn’t join Albin Kurti which we know and you always Support and Serve Serbia,1,1,1,2022-08-01 21:12:10+00:00
oltwastaken,@AlketaBekteshi Don’t talk about Thaci talk about ur prime minister Albin Kurti,43,0,0,2022-08-01 21:10:36+00:00
